 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  1  ,     10.0000   ,       1.00,      541440,  30.08,   10.00,   1,  30.08,  69.92,      0,    733680,   0.00,  69.92,     10000,      4076
   36 ,  1  ,     20.0000   ,       1.00,      611100,  33.95,   20.00,   1,  33.95,  66.05,      0,    694260,   0.00,  66.05,     10000,      3857
   36 ,  1  ,     30.0000   ,       1.00,      697680,  38.76,   30.00,   1,  38.76,  61.24,      0,    640260,   0.00,  61.24,     10000,      3557
   36 ,  1  ,     40.0000   ,       1.00,      781380,  43.41,   40.00,   1,  43.41,  56.59,      0,    589500,   0.00,  56.59,     10000,      3275
   36 ,  1  ,     50.0000   ,       1.00,      848520,  47.14,   50.00,   1,  47.14,  52.86,      0,    551520,   0.00,  52.86,     10000,      3064
   36 ,  1  ,     60.0000   ,       1.00,      920700,  51.15,   60.00,   1,  51.15,  48.85,      0,    505440,   0.00,  48.85,     10000,      2808
   36 ,  1  ,     70.0000   ,       1.00,      966060,  53.67,   70.00,   1,  53.67,  46.33,      0,    483300,   0.00,  46.33,     10000,      2685
   36 ,  1  ,     80.0000   ,       1.00,     1007100,  55.95,   80.00,   1,  55.95,  44.05,      0,    461340,   0.00,  44.05,     10000,      2563
   36 ,  1  ,     90.0000   ,       1.00,     1043280,  57.96,   90.00,   1,  57.96,  42.04,      0,    440820,   0.00,  42.04,     10000,      2449
   36 ,  1  ,    100.0000   ,       1.00,     1085040,  60.28,  100.00,   1,  60.28,  39.72,      0,    415260,   0.00,  39.72,     10000,      2307
   36 ,  1  ,     10.0000   ,       3.00,      336960,  18.72,    3.33,   1,  18.72,  81.28,      0,   1136700,   0.00,  81.28,     10000,      6315
   36 ,  1  ,     20.0000   ,       3.00,      386100,  21.45,    6.67,   1,  21.45,  78.55,      0,   1101780,   0.00,  78.55,     10000,      6121
   36 ,  1  ,     30.0000   ,       3.00,      461160,  25.62,   10.00,   1,  25.62,  74.38,      0,   1034820,   0.00,  74.38,     10000,      5749
   36 ,  1  ,     40.0000   ,       3.00,      526680,  29.26,   13.33,   1,  29.26,  70.74,      0,    982620,   0.00,  70.74,     10000,      5459
   36 ,  1  ,     50.0000   ,       3.00,      583020,  32.39,   16.67,   1,  32.39,  67.61,      0,    939600,   0.00,  67.61,     10000,      5220
   36 ,  1  ,     60.0000   ,       3.00,      654840,  36.38,   20.00,   1,  36.38,  63.62,      0,    877320,   0.00,  63.62,     10000,      4874
   36 ,  1  ,     70.0000   ,       3.00,      690660,  38.37,   23.33,   1,  38.37,  61.63,      0,    856080,   0.00,  61.63,     10000,      4756
